Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",8.0,8,470.0,500
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",20.5,23,490.0,528
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",23.0,25,454.0,498
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",6.5,7,301.5,334
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",3.0,3,357.0,385
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",4.5,5,197.0,217
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,2.0,2
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,4.0,4
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,6.0,6
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,1.0,1
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,3.5,4
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,2.5,3
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.0,0,3.0,3
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,0.0,0
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,1.0,1
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,1.0,1
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,1.0,1
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,0.0,0
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",9.5,12,381.0,422
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,5.0,5
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",16.5,18,428.5,474
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,3.0,3
