Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",6.0,6,240.5,254
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",15.0,16,250.0,269
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",9.5,10,241.0,264
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",0.0,0,165.5,187
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",6.0,6,187.0,199
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",1.0,1,100.5,116
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,0.0,0
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,4.0,4
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,8.0,9
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,0.0,0
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,1.0,1
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",1.0,1,3.5,4
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.5,2
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,2.5,3
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,2.0,2
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,1.0,1
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.5,2
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,1.0,1
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",3.0,3,210.5,233
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,2.0,2
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",2.5,4,228.5,252
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,1.0,1
