Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",43.0,48,422.0,450
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",51.0,59,432.0,473
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",33.5,37,414.5,460
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",10.0,11,287.0,325
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",17.5,19,327.0,352
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",8.5,10,192.5,219
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,1.0,1
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,2.0,2
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,5.5,6
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,10.5,11
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,2.0,2
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,1.0,1
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,3.0,3
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,8.5,9
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.0,0,4.5,5
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,3.5,4
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,2.5,3
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,1.5,2
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,1.5,2
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,0.5,1
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,1.0,1
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,3.0,3
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,2.0,2
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.0,1
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,1.0,1
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,2.5,3
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",17.0,18,359.5,409
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,3.5,4
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",25.5,28,404.0,451
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,3.0,3
