Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",26.0,27,625.5,667
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",51.5,54,659.5,714
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",36.0,38,606.5,667
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",6.5,10,387.0,433
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",18.5,20,478.0,514
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",1.0,1,0.5,1
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",3.0,3,254.5,286
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,0.0,0
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,8.0,9
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,8.5,11
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,1.0,1
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,1.0,1
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,3.0,3
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.5,1,5.5,6
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.5,2
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,2.5,3
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.5,1,3.0,4
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,2.5,4
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,0.5,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,0.5,1
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.5,1
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.5,2
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,2.5,3
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,0.5,1
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",14.0,16,516.0,571
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,5.5,6
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",21.5,25,564.0,625
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,0.5,1
