Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",5.0,5,336.5,354
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",10.0,10,368.0,393
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",9.5,10,363.5,393
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",7.0,7,250.0,276
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",1.0,1,275.0,291
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",2.0,2,145.0,163
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,0.0,0
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,0.0,0
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,3.5,4
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,1.0,2
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,1.0,2
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,0.0,0
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.0,0,0.5,1
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,0.0,0
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,1.0,1
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.0,1
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,1.0,1
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",10.0,10,308.5,337
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,1.0,1
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",5.0,7,342.5,375
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,0.0,0
