Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",23.0,26,226.5,241
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",22.0,27,237.5,256
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",15.5,18,242.5,265
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",4.0,4,178.0,196
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",14.0,15,168.5,182
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",4.5,5,125.0,137
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,2.0,2
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,1.5,2
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,8.0,8
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",1.5,2,6.0,6
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,0.0,0
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,3.0,3
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,4.5,5
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.0,0,3.0,3
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,3.0,3
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",1.0,1,3.0,3
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,1.5,2
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",1.0,1,3.5,4
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,1.5,2
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,2.0,2
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,1.5,2
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,3.0,3
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,2.0,2
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,3.5,4
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",7.0,7,209.5,234
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,3.5,4
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",9.5,10,234.5,258
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,3.0,3
