Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",4.0,4,300.5,316
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",12.0,12,319.5,345
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",12.5,14,305.5,334
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",6.0,6,197.5,220
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",1.0,1,243.0,257
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",3.5,4,124.5,142
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,0.0,0
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,2.5,3
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,2.5,4
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,0.0,0
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,1.0,2
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.0,0,2.0,3
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,0.5,1
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,1.5,2
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",1.0,1,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,0.0,0
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",8.0,8,238.0,265
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,1.0,1
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",8.0,8,269.5,299
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,1.5,2
