Submission Date,Your Submission Identifier,NCAA Division,OPTIONAL: Position Title,Up 3 Fouling Input,Up 3:   a,Up 3:  b,Up 3:   c,Up 3:   d,Down 3:   a,Down 3:   b,Down 3:   c,Down 3:   d,Down 2:   a,Down 2:   b,Down 2:   c,Down 2:   d,Down 1:   a,Down 1:   b,Down 1:   c,Down 1:   d
"Aug 16, 2022","bL?l,sKvL6l$G2P1P2fUvAwZ9A;6OxoK",2,Graduate assistant,Ten,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022","lGg:bI?|'>na"",%!n<?5_-L/ly^,qYQ7",2,Graduate Assistant Coach,6,"[0,0]","[6,6]","[0,0]","[6,0]","[0,0]","[35,30]","[30,30]","[5,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022",<m9__4rUBU}zOG)_G6OvY<3F8i||r~U*,2,,12,"[0,0]","[12,12]","[0,0]","[12,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Sep 5, 2022",",z1q^i<Z`""J""]j4=u/.[_7Mt]CzlH-~~",3,Head Coach,7.0,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[45,30]","[30,30]","[45,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 22, 2022",hlG>]Ph];/ro_R:<z6I!t[YJFaDF5&0>,3,Associate Head Coach,7.4,"[0,0]","[7.4,7.4]","[0,0]","[7.4,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 22, 2022",*;_<.8K}%Z)~wvmMwn{XuXG--01KF<A$,3,Head Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[40,30]","[30,30]","[40,0]"
"Aug 17, 2022","`s4(k<F_'@8Gdu>7JrFps4,C#i_'Dmdb",3,Head Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[0,0]","[40,30]","[30,30]","[10,0]","[0,0]","[40,30]","[30,30]","[10,0]","[0,0]","[40,30]","[30,30]","[10,0]"
"Aug 17, 2022",">$Aj;c)_rvGi,xTPW@^p""s4Llg|DZB-n",3,Head coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022",w#gTW`jxElI^m?e|Rrl=;k]ur<0ch5Mr,3,Head Coach,5,"[0,0]","[5,5]","[0,0]","[5,0]","[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[40,30]","[30,30]","[40,0]"
"Aug 16, 2022","""geSj`DTx_/R|bd0tRpyALK{GJx[Xd)M",3,Head Coach,6,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022","PSk%i2?m.q57mS8""I4,5@f{ZYDx6jrD%",3,Director of Digital Media,10,"[0,0]","[10,10]","[0,0]","[10,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[20,20]","[0,0]","[20,0]"
"Aug 16, 2022",PiW3Z5JF=X[[U7kxv^R8n<.Q2IZP(wHK,3,Head Men's Basketball Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[0,0]","[25,15]","[15,15]","[25,0]","[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[25,20]","[20,20]","[25,0]"
"Aug 16, 2022",/H'm6[x~>)|Dal&7|D;Aoi'SI62{c1#e,3,Head Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
