Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(2, 0), Point2D(2, 2))",3.0,3,275.0,289
"Polygon(Point2D(5, 3), Point2D(5, 5), Point2D(2, 2), Point2D(2, 0))",6.0,6,320.5,344
"Triangle(Point2D(2, 0), Point2D(5, 0), Point2D(5, 3))",0.0,0,0.0,0
"Polygon(Point2D(11, 9), Point2D(11, 11), Point2D(8, 8), Point2D(8, 6))",9.0,9,280.5,309
"Polygon(Point2D(15, 13), Point2D(15, 15), Point2D(11, 11), Point2D(11, 9))",8.0,8,248.5,278
"Triangle(Point2D(5, 0), Point2D(8, 0), Point2D(8, 3))",0.0,0,0.0,0
"Polygon(Point2D(11, 6), Point2D(11, 9), Point2D(8, 6), Point2D(8, 3))",0.0,0,1.5,2
"Polygon(Point2D(8, 0), Point2D(11, 0), Point2D(11, 6), Point2D(8, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 10), Point2D(15, 13), Point2D(11, 9), Point2D(11, 6))",0.0,0,1.5,2
"Polygon(Point2D(15, 0), Point2D(20, 0), Point2D(20, 9), Point2D(15, 4))",0.0,0,1.0,1
"Polygon(Point2D(15, 4), Point2D(15, 10), Point2D(11, 6), Point2D(11, 0))",0.0,0,0.0,0
"Triangle(Point2D(11, 0), Point2D(15, 0), Point2D(15, 4))",0.0,0,0.0,0
"Polygon(Point2D(8, 6), Point2D(8, 8), Point2D(5, 5), Point2D(5, 3))",11.5,13,300.5,326
"Polygon(Point2D(8, 3), Point2D(8, 6), Point2D(5, 3), Point2D(5, 0))",0.0,0,0.0,0
"Polygon(Point2D(20, 18), Point2D(20, 20), Point2D(15, 15), Point2D(15, 13))",5.0,5,191.5,215
"Polygon(Point2D(20, 15), Point2D(20, 18), Point2D(15, 13), Point2D(15, 10))",0.0,0,3.5,5
"Polygon(Point2D(20, 9), Point2D(20, 15), Point2D(15, 10), Point2D(15, 4))",0.0,0,4.0,6
