Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(2, 0), Point2D(2, 2))",7.0,7,414.5,436
"Polygon(Point2D(5, 3), Point2D(5, 5), Point2D(2, 2), Point2D(2, 0))",18.5,20,498.5,535
"Triangle(Point2D(2, 0), Point2D(5, 0), Point2D(5, 3))",0.0,0,1.0,1
"Polygon(Point2D(11, 9), Point2D(11, 11), Point2D(8, 8), Point2D(8, 6))",18.5,20,430.5,476
"Polygon(Point2D(15, 13), Point2D(15, 15), Point2D(11, 11), Point2D(11, 9))",12.5,16,400.0,442
"Triangle(Point2D(5, 0), Point2D(8, 0), Point2D(8, 3))",0.0,0,1.0,1
"Polygon(Point2D(11, 6), Point2D(11, 9), Point2D(8, 6), Point2D(8, 3))",0.0,0,2.5,3
"Polygon(Point2D(8, 0), Point2D(11, 0), Point2D(11, 6), Point2D(8, 3))",0.0,0,1.0,1
"Polygon(Point2D(15, 10), Point2D(15, 13), Point2D(11, 9), Point2D(11, 6))",1.0,1,4.0,4
"Polygon(Point2D(15, 0), Point2D(20, 0), Point2D(20, 9), Point2D(15, 4))",0.0,0,1.0,1
"Polygon(Point2D(15, 4), Point2D(15, 10), Point2D(11, 6), Point2D(11, 0))",1.0,1,4.5,5
"Triangle(Point2D(11, 0), Point2D(15, 0), Point2D(15, 4))",0.0,0,0.0,0
"Polygon(Point2D(8, 6), Point2D(8, 8), Point2D(5, 5), Point2D(5, 3))",28.5,30,466.0,511
"Polygon(Point2D(8, 3), Point2D(8, 6), Point2D(5, 3), Point2D(5, 0))",0.0,0,1.5,2
"Polygon(Point2D(20, 18), Point2D(20, 20), Point2D(15, 15), Point2D(15, 13))",5.0,6,288.0,319
"Polygon(Point2D(20, 15), Point2D(20, 18), Point2D(15, 13), Point2D(15, 10))",0.5,1,7.5,8
"Polygon(Point2D(20, 9), Point2D(20, 15), Point2D(15, 10), Point2D(15, 4))",0.0,0,8.5,9
