Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(2, 0), Point2D(2, 2))",11.5,13,302.0,316
"Polygon(Point2D(5, 3), Point2D(5, 5), Point2D(2, 2), Point2D(2, 0))",28.5,30,358.0,379
"Triangle(Point2D(2, 0), Point2D(5, 0), Point2D(5, 3))",0.0,0,1.0,1
"Polygon(Point2D(11, 9), Point2D(11, 11), Point2D(8, 8), Point2D(8, 6))",7.0,9,355.0,384
"Polygon(Point2D(15, 13), Point2D(15, 15), Point2D(11, 11), Point2D(11, 9))",15.0,18,330.5,361
"Triangle(Point2D(5, 0), Point2D(8, 0), Point2D(8, 3))",0.0,0,1.0,1
"Polygon(Point2D(11, 6), Point2D(11, 9), Point2D(8, 6), Point2D(8, 3))",0.0,0,0.0,0
"Polygon(Point2D(8, 0), Point2D(11, 0), Point2D(11, 6), Point2D(8, 3))",0.0,0,1.0,2
"Polygon(Point2D(15, 10), Point2D(15, 13), Point2D(11, 9), Point2D(11, 6))",0.0,0,2.5,3
"Polygon(Point2D(15, 0), Point2D(20, 0), Point2D(20, 9), Point2D(15, 4))",0.0,0,3.0,3
"Polygon(Point2D(15, 4), Point2D(15, 10), Point2D(11, 6), Point2D(11, 0))",0.0,0,1.0,1
"Triangle(Point2D(11, 0), Point2D(15, 0), Point2D(15, 4))",0.0,0,1.0,1
"Polygon(Point2D(8, 6), Point2D(8, 8), Point2D(5, 5), Point2D(5, 3))",21.0,21,363.5,391
"Polygon(Point2D(8, 3), Point2D(8, 6), Point2D(5, 3), Point2D(5, 0))",0.0,0,1.0,1
"Polygon(Point2D(20, 18), Point2D(20, 20), Point2D(15, 15), Point2D(15, 13))",17.0,18,279.5,307
"Polygon(Point2D(20, 15), Point2D(20, 18), Point2D(15, 13), Point2D(15, 10))",0.0,0,6.5,7
"Polygon(Point2D(20, 9), Point2D(20, 15), Point2D(15, 10), Point2D(15, 4))",0.0,0,2.5,3
